1. 科目に対応するコースへ自身が登録されているか確認する方法はありますか？ 2. 資料の利用可能期間を設定する方法はありますか？ 3. フォルダやファイルを非表示にする方法はありますか？
1. 授業担当の先生が通知を設定しない場合、受講生は通知を受けることはできますか？ 2. グループ機能を使って、一部の受講生にのみ資料やお知らせを開示・通知することは可能ですか？ 3. 非表示設定したフォルダへアップロードした資料でも、通知設定をすると受講生にメールが送信されるのでしょうか？
1. kibacoでファイルへのパスワード設定はできますか？ 2. kibacoで特定の受講生だけに資料を開示する方法はありますか？ 3. kibacoで暗号化済みのファイルをアップロードし、パスワードを連絡する方法はありますか？
1. 「資料」機能を使うためには、どのような手順が必要ですか？ 2. 「資料」機能を使うことで、どのようなことが可能ですか？ 3. 「資料」機能の詳細については、どのドキュメントを参照すればよいですか？
1. 学生の学修番号を登録する方法は何種類ありますか？ 2. 学部1年生がkibacoを利用するためには、どの授業を受講する必要がありますか？ 3. 授業担当者向けマニュアルのどのページに、学生の登録方法の詳細が記載されていますか？
1. 資料の一括ダウンロード機能を追加する予定はありますか？ 2. 資料を個別にダウンロードする方法を教えてください。 3. 資料のダウンロードに関する制限はありますか？
1. ブラウザの表示用文字コードを変更する方法はありますか？ 2. ファイルの文字コードを確認する方法はありますか？ 3. ファイルをダウンロードすることで文字化けを回避できるのですか？
1. 「TA/チューター」権限に対して資料作成権限を付与する方法は何ですか？ 2. TA/チューターが教員の代理でファイルをアップロードするためには、どのような手順を踏む必要がありますか？ 3. TA/チューターがファイルをアップロードするためには、教員が資料を作成する必要があるのでしょうか？
1. 授業担当者向けマニュアルの44〜46ページには、どのような手順が記載されていますか？ 2. 「資料を配布する」手順に従ってアップロードする際、特別な注意事項はありますか？ 3. 授業担当者向けマニュアルの44〜46ページには、他の便利な機能や操作方法も記載されていますか？
1. 先生が再提出を求めることが可能な場合、その学生に対して再提出を求めるための手順はありますか？ 2. 再提出設定の最終受理日時が学生ごとに反映される理由は何ですか？ 3. 全体の最終受理日時に再提出設定の最終受理日時が反映されない理由は何ですか？
1. 締切日を変更する手順はどのようになっていますか？ 2. 締切日を変更した場合、学生はどのように通知されますか？ 3. 締切日を変更することによって、課題の提出期限は延長されますか？
1. 学生が課題を閲覧・提出できない場合、自身が登録されているコースを確認しましたか？ 2. 課題の開示・提出期間が正しく設定されているか、授業担当の先生に確認しましたか？ 3. 課題が下書きとして保存されていないことを確認しましたか？下書きの場合、学生は閲覧・提出できません。
1. ファイル名を変えずに上書きする場合、どのような手順で提出すればよいですか？ 2. ファイル名を変えて別ファイルとして提出する場合、具体的な手順を教えてください。 3. 受講生向けマニュアルの31~33ページには、ファイルの上書きや別ファイルとして提出する方法について詳細が記載されていますか？
1. 授業担当者向けマニュアルのどのページに、課題や資料、お知らせやテスト/アンケートを別の科目・クラスのコースへコピーする方法が記載されていますか？ 2. 課題や資料、お知らせやテスト/アンケートを別の科目・クラスのコースへコピーする方法について、詳細な手順はどのページに記載されていますか？ 3. 授業担当者向けマニュアルの35~40ページには、課題や資料、お知らせやテスト/アンケートを別の科目・クラスのコースへコピーする方法以外の内容も含まれていますか？
1. 課題を複製する方法はありますか？ 2. 複製された課題はどのような状態で作成されますか？ 3. 複製された課題を編集する方法はありますか？
1. 「TA/チューター」権限のユーザが課題提出物をダウンロードするためには、どのような権限設定が必要ですか？ 2. 教員が権限を変更するためには、どのような手順を踏めば良いですか？ 3. 「採点」と「結果の入力」は誰が行う必要がありますか？
1. フォルダの階層構造を変更せずに、ドキュメントをダウンロードする方法はありますか？ 2. フォルダの階層構造を変更することなく、ドキュメントを別の場所に移動する方法はありますか？ 3. フォルダの階層構造を変更することなく、ドキュメントをコピーする方法はありますか？
1. 課題作成画面で「リマインダメールを送信」にチェックすると、どのようなメールが送信されますか？ 2. リマインダメールは、誰に送信されますか？ 3. リマインダメールの送信タイミングは、どのように設定できますか？
1. 課題の追加や修正時のお知らせを受けるためには、どのような設定が必要ですか？ 2. 受講生が通知を受けるためには、どのような手続きが必要ですか？ 3. 課題の追加や修正の通知を受けるために、教員はどのような権限を持っている必要がありますか？
1. 課題の提出期限が延長された場合、既に評価済みの課題を差し替え提出することはできますか？ 2. 課題の提出期限までに複数回の差し替え提出が可能ですか？ 3. 受講生向けマニュアルのどのページに課題の提出に関する詳細が記載されていますか？
1. 課題の採点結果を成績簿へ反映するためには、どのような手順が必要ですか？ 2. 課題の提出状況や採点結果を一覧で確認する方法はありますか？ 3. 提出状況一覧をExcelファイルとしてダウンロードする方法を教えてください。
1. 締切前に課題の提出物を確認することはできますか？ 2. 締切まで受講生が提出物を差し替える可能性がある場合、どのように対応すればよいですか？ 3. 授業担当者向けマニュアルの56ページに記載されている締切日時の設定の変更方法を教えてください。
